mydata has 1500 particles in a 3-dimensional space.
Tock registers     2.0773e-02 seconds.
172	0.01	1.73	-0.584545
173	0.01	1.74	-0.584984
174	0.01	1.75	-0.58547
175	0.01	1.76	-0.585997
176	0.01	1.77	-0.586558
177	0.01	1.78	-0.587141
178	0.01	1.79	-0.587727
179	0.01	1.8	-0.588287
180	0.01	1.81	-0.588793
181	0.01	1.82	-0.589226
182	0.01	1.83	-0.589579
183	0.01	1.84	-0.589859
184	0.01	1.85	-0.590082
185	0.01	1.86	-0.590263
186	0.01	1.87	-0.590415
187	0.01	1.88	-0.590546
188	0.01	1.89	-0.590662
189	0.01	1.9	-0.590761
190	0.01	1.91	-0.590833
191	0.01	1.92	-0.590871
192	0.01	1.93	-0.590867
193	0.01	1.94	-0.590818
194	0.01	1.95	-0.590729
195	0.01	1.96	-0.590608
196	0.01	1.97	-0.590463
197	0.01	1.98	-0.590306
198	0.01	1.99	-0.590146
199	0.01	2	-0.589991
200	0.01	2.01	-0.589843
201	0.01	2.02	-0.589698
202	0.01	2.03	-0.589549
203	0.01	2.04	-0.589391
204	0.01	2.05	-0.589216
205	0.01	2.06	-0.589027
206	0.01	2.07	-0.588829
207	0.01	2.08	-0.588629
208	0.01	2.09	-0.588432
209	0.01	2.1	-0.588243
210	0.01	2.11	-0.588065
211	0.01	2.12	-0.5879
212	0.01	2.13	-0.587752
213	0.01	2.14	-0.587623
214	0.01	2.15	-0.587518
215	0.01	2.16	-0.587443
216	0.01	2.17	-0.587402
217	0.01	2.18	-0.587396
218	0.01	2.19	-0.587428
219	0.01	2.2	-0.587499
220	0.01	2.21	-0.587607
221	0.01	2.22	-0.587747
222	0.01	2.23	-0.587908
223	0.01	2.24	-0.588078
224	0.01	2.25	-0.588238
225	0.01	2.26	-0.588375
226	0.01	2.27	-0.588477
227	0.01	2.28	-0.588539
228	0.01	2.29	-0.588559
229	0.01	2.3	-0.588541
230	0.01	2.31	-0.588492
231	0.01	2.32	-0.588422
232	0.01	2.33	-0.588342
233	0.01	2.34	-0.588256
234	0.01	2.35	-0.588171
235	0.01	2.36	-0.588088
236	0.01	2.37	-0.588005
237	0.01	2.38	-0.587919
238	0.01	2.39	-0.587828
239	0.01	2.4	-0.587733
240	0.01	2.41	-0.587634
241	0.01	2.42	-0.587535
242	0.01	2.43	-0.58744
243	0.01	2.44	-0.587354
244	0.01	2.45	-0.587277
245	0.01	2.46	-0.587207
246	0.01	2.47	-0.587139
247	0.01	2.48	-0.587064
248	0.01	2.49	-0.586978
249	0.01	2.5	-0.58688
250	0.01	2.51	-0.586769
251	0.01	2.52	-0.586643
252	0.01	2.53	-0.586503
253	0.01	2.54	-0.586351
254	0.01	2.55	-0.586196
255	0.01	2.56	-0.586048
256	0.01	2.57	-0.585917
257	0.01	2.58	-0.585809
258	0.01	2.59	-0.585729
259	0.01	2.6	-0.585674
260	0.01	2.61	-0.585641
261	0.01	2.62	-0.585623
262	0.01	2.63	-0.585614
263	0.01	2.64	-0.585601
264	0.01	2.65	-0.585585
265	0.01	2.66	-0.585576
266	0.01	2.67	-0.585592
267	0.01	2.68	-0.585649
268	0.01	2.69	-0.585751
269	0.01	2.7	-0.585893
270	0.01	2.71	-0.586057
271	0.01	2.72	-0.586228
272	0.01	2.73	-0.586401
273	0.01	2.74	-0.586579
274	0.01	2.75	-0.586762
275	0.01	2.76	-0.586955
276	0.01	2.77	-0.587163
277	0.01	2.78	-0.587389
278	0.01	2.79	-0.587628
279	0.01	2.8	-0.587865
280	0.01	2.81	-0.588071
281	0.01	2.82	-0.588221
282	0.01	2.83	-0.588305
283	0.01	2.84	-0.588329
284	0.01	2.85	-0.588304
285	0.01	2.86	-0.588242
286	0.01	2.87	-0.588155
287	0.01	2.88	-0.588063
288	0.01	2.89	-0.587975
289	0.01	2.9	-0.587901
290	0.01	2.91	-0.587844
291	0.01	2.92	-0.587808
292	0.01	2.93	-0.587789
293	0.01	2.94	-0.587782
294	0.01	2.95	-0.587783
295	0.01	2.96	-0.587784
296	0.01	2.97	-0.587776
297	0.01	2.98	-0.587758
298	0.01	2.99	-0.587732
299	0.01	3	-0.587699
300	0.01	3.01	-0.587662
301	0.01	3.02	-0.587621
302	0.01	3.03	-0.587575
303	0.01	3.04	-0.58753
304	0.01	3.05	-0.587494
305	0.01	3.06	-0.587474
306	0.01	3.07	-0.587472
307	0.01	3.08	-0.587485
308	0.01	3.09	-0.587508
309	0.01	3.1	-0.587533
310	0.01	3.11	-0.58755
311	0.01	3.12	-0.587554
312	0.01	3.13	-0.587557
313	0.01	3.14	-0.587572
314	0.01	3.15	-0.58761
315	0.01	3.16	-0.587671
316	0.01	3.17	-0.587752
317	0.01	3.18	-0.587846
318	0.01	3.19	-0.587942
319	0.01	3.2	-0.588032
320	0.01	3.21	-0.588114
321	0.01	3.22	-0.588189
322	0.01	3.23	-0.58826
323	0.01	3.24	-0.588326
324	0.01	3.25	-0.588382
325	0.01	3.26	-0.588428
326	0.01	3.27	-0.588459
327	0.01	3.28	-0.588476
328	0.01	3.29	-0.588481
329	0.01	3.3	-0.588474
330	0.01	3.31	-0.588449
331	0.01	3.32	-0.588409
332	0.01	3.33	-0.58836
333	0.01	3.34	-0.588312
334	0.01	3.35	-0.58827
335	0.01	3.36	-0.588233
336	0.01	3.37	-0.588188
337	0.01	3.38	-0.58812
338	0.01	3.39	-0.588025
339	0.01	3.4	-0.587903
340	0.01	3.41	-0.587759
341	0.01	3.42	-0.587603
342	0.01	3.43	-0.587442
343	0.01	3.44	-0.587283
344	0.01	3.45	-0.587132
345	0.01	3.46	-0.586986
346	0.01	3.47	-0.586845
347	0.01	3.48	-0.586708
348	0.01	3.49	-0.586575
349	0.01	3.5	-0.586449
350	0.01	3.51	-0.586338
351	0.01	3.52	-0.58625
352	0.01	3.53	-0.586188
353	0.01	3.54	-0.586149
354	0.01	3.55	-0.586125
