11.1	11.1
11.2136	11.1958
11.3385	11.3035
11.4799	11.3991
11.6147	11.5054
11.7407	11.614
11.8657	11.7276
11.9853	11.8418
-0.877028	11.9726
-0.733906	-0.887821
-0.60512	-0.744009
-0.495682	-0.610481
-0.400754	-0.464786
-0.319559	-0.323054
-0.253173	-0.196969
-0.16683	-0.0821535
-0.079969	0.0462262
0.0113972	0.166447
0.108266	0.28764
0.204877	0.427743
0.293189	0.578701
0.382572	0.740455
0.467963	0.917871
0.544687	1.08938
0.63372	1.27766
0.705543	1.48391
0.778405	1.6736
0.838957	1.86982
0.915118	2.05999
0.973845	2.23097
1.03088	2.38447
1.07745	2.55679
1.1401	2.74315
1.19342	2.93111
1.24175	3.12947
1.29059	3.33454
1.34068	3.52118
1.38828	3.7251
1.45312	3.93785
1.50932	4.16015
1.57113	4.37661
1.64045	4.5797
1.70737	4.798
1.78746	5.00951
1.85671	5.23676
1.91997	5.47148
2.0015	5.70974
2.08931	5.96234
2.17471	6.23191
2.25605	6.51407
2.34475	6.81266
2.43275	7.09989
2.53877	7.40392
2.63069	7.7232
2.72825	8.03975
2.8306	8.34755
2.94438	8.64764
3.05605	8.93678
3.15522	9.21697
3.25665	9.49382
3.34486	9.78694
3.4172	10.0651
3.48936	10.3537
3.5809	10.6597
3.67983	10.961
3.78874	11.257
3.88942	11.5424
3.99348	11.8175
4.08364	-0.898083
4.15882	-0.601934
4.22056	-0.295982
4.26528	0.0279734
4.2921	0.352792
4.30597	0.667212
4.33175	0.990939
4.3638	1.33336
4.40142	1.68618
4.42278	2.02438
4.44496	2.34572
4.44992	2.65525
4.45335	2.97756
4.4597	3.31009
4.44814	3.62894
4.45657	3.93596
4.4806	4.228
4.52455	4.5022
4.58331	4.75929
4.62225	5.03331
4.66494	5.29454
4.69415	5.55144
4.73988	5.82113
4.77998	6.09291
4.82326	6.3628
4.87403	6.61668
4.92603	6.88085
4.97021	7.1647
5.01746	7.46366
5.07463	7.76778
5.11321	8.08181
5.16512	8.41285
