Step = 97, Time = 0.685672, Error = 0, Integrated density = 0.999994
Step = 98, Time = 0.692815, Error = 0, Integrated density = 0.999995
Step = 99, Time = 0.699957, Error = 0, Integrated density = 0.999996
Step = 100, Time = 0.7071, Error = 0, Integrated density = 0.999992
Step = 101, Time = 0.714242, Error = 0, Integrated density = 0.999994
Step = 102, Time = 0.721384, Error = 0, Integrated density = 0.999997
Step = 103, Time = 0.728527, Error = 0, Integrated density = 0.999996
Step = 104, Time = 0.735669, Error = 0, Integrated density = 0.999997
Step = 105, Time = 0.742812, Error = 0, Integrated density = 0.999995
Step = 106, Time = 0.749954, Error = 0, Integrated density = 0.999992
Step = 107, Time = 0.757097, Error = 0, Integrated density = 0.999992
Step = 108, Time = 0.764239, Error = 0, Integrated density = 0.999995
Step = 109, Time = 0.771381, Error = 0, Integrated density = 0.999992
Step = 110, Time = 0.778524, Error = 0, Integrated density = 0.999992
Step = 111, Time = 0.785666, Error = 0, Integrated density = 0.999998
Step = 112, Time = 0.792809, Error = 0, Integrated density = 0.999996
Step = 113, Time = 0.799951, Error = 0, Integrated density = 0.999994
Step = 114, Time = 0.807094, Error = 0, Integrated density = 0.999992
Step = 115, Time = 0.814236, Error = 0, Integrated density = 0.999994
Step = 116, Time = 0.821378, Error = 0, Integrated density = 0.999993
Step = 117, Time = 0.828521, Error = 0, Integrated density = 0.999995
Step = 118, Time = 0.835663, Error = 0, Integrated density = 0.999991
Step = 119, Time = 0.842806, Error = 0, Integrated density = 0.999996
Step = 120, Time = 0.849948, Error = 0, Integrated density = 0.999994
Step = 121, Time = 0.857091, Error = 0, Integrated density = 0.999991
Step = 122, Time = 0.864233, Error = 0, Integrated density = 0.999992
Step = 123, Time = 0.871375, Error = 0, Integrated density = 0.999997
Step = 124, Time = 0.878518, Error = 0, Integrated density = 0.999994
Step = 125, Time = 0.88566, Error = 0, Integrated density = 0.999994
Step = 126, Time = 0.892803, Error = 0, Integrated density = 0.999994
Step = 127, Time = 0.899945, Error = 0, Integrated density = 0.999995
Step = 128, Time = 0.907088, Error = 0, Integrated density = 0.999997
Step = 129, Time = 0.91423, Error = 0, Integrated density = 0.999995
Step = 130, Time = 0.921372, Error = 0, Integrated density = 0.999989
Step = 131, Time = 0.928515, Error = 0, Integrated density = 0.999991
Step = 132, Time = 0.935657, Error = 0, Integrated density = 0.999995
Step = 133, Time = 0.9428, Error = 0, Integrated density = 0.999995
Step = 134, Time = 0.949942, Error = 0, Integrated density = 0.999994
Step = 135, Time = 0.957084, Error = 0, Integrated density = 0.999994
Step = 136, Time = 0.964227, Error = 0, Integrated density = 0.999993
Step = 137, Time = 0.971369, Error = 0, Integrated density = 0.999991
Step = 138, Time = 0.978512, Error = 0, Integrated density = 0.999991
Step = 139, Time = 0.985654, Error = 0, Integrated density = 0.999996
Step = 140, Time = 0.992797, Error = 0, Integrated density = 0.999993
Step = 141, Time = 0.999939, Error = 0, Integrated density = 0.999993
Step = 142, Time = 1.00708, Error = 0, Integrated density = 0.999994
Step = 143, Time = 1.01422, Error = 0, Integrated density = 0.99999
Step = 144, Time = 1.02137, Error = 0, Integrated density = 0.999996
Step = 145, Time = 1.02851, Error = 0, Integrated density = 0.999992
Step = 146, Time = 1.03565, Error = 0, Integrated density = 0.999992
Step = 147, Time = 1.04279, Error = 0, Integrated density = 0.999994
Step = 148, Time = 1.04994, Error = 0, Integrated density = 0.999994
Step = 149, Time = 1.05708, Error = 0, Integrated density = 0.999995
Step = 150, Time = 1.06422, Error = 0.00325797, Integrated density = 0.999996
Step = 151, Time = 1.07136, Error = 0.00325797, Integrated density = 0.999997
Step = 152, Time = 1.07851, Error = 0.00325797, Integrated density = 0.999993
Step = 153, Time = 1.08565, Error = 0.00325797, Integrated density = 0.999994
Step = 154, Time = 1.09279, Error = 0.00325797, Integrated density = 0.999993
Step = 155, Time = 1.09993, Error = 0.00325797, Integrated density = 0.99999
Step = 156, Time = 1.10708, Error = 0.00325797, Integrated density = 0.999994
Step = 157, Time = 1.11422, Error = 0.00325797, Integrated density = 0.999995
Step = 158, Time = 1.12136, Error = 0.00325797, Integrated density = 0.999989
Step = 159, Time = 1.1285, Error = 0.00325797, Integrated density = 0.999989
Step = 160, Time = 1.13565, Error = 0.00325797, Integrated density = 0.999993
Step = 161, Time = 1.14279, Error = 0.00325797, Integrated density = 0.999994
Step = 162, Time = 1.14993, Error = 0.00325797, Integrated density = 0.999995
Step = 163, Time = 1.15707, Error = 0.00325797, Integrated density = 0.999994
Step = 164, Time = 1.16421, Error = 0.00325797, Integrated density = 0.999992
Step = 165, Time = 1.17136, Error = 0.00325797, Integrated density = 0.999988
Step = 166, Time = 1.1785, Error = 0.00325797, Integrated density = 0.999992
Step = 167, Time = 1.18564, Error = 0.00325797, Integrated density = 0.999994
Step = 168, Time = 1.19278, Error = 0.00325797, Integrated density = 0.999988
Step = 169, Time = 1.19993, Error = 0.00325797, Integrated density = 0.99999
Step = 170, Time = 1.20707, Error = 0.00325797, Integrated density = 0.999993
Step = 171, Time = 1.21421, Error = 0.00325797, Integrated density = 0.999992
Step = 172, Time = 1.22135, Error = 0.00325797, Integrated density = 0.999993
Step = 173, Time = 1.2285, Error = 0.00325797, Integrated density = 0.999993
Step = 174, Time = 1.23564, Error = 0.00325797, Integrated density = 0.99999
Step = 175, Time = 1.24278, Error = 0.00325797, Integrated density = 0.999991
Step = 176, Time = 1.24992, Error = 0.00325797, Integrated density = 0.99999
Step = 177, Time = 1.25707, Error = 0.00325797, Integrated density = 0.999992
Step = 178, Time = 1.26421, Error = 0.00325797, Integrated density = 0.999992
Step = 179, Time = 1.27135, Error = 0.00325797, Integrated density = 0.999992
Step = 180, Time = 1.27849, Error = 0.00325797, Integrated density = 0.999988
Step = 181, Time = 1.28564, Error = 0.00325797, Integrated density = 0.999993
Step = 182, Time = 1.29278, Error = 0.00325797, Integrated density = 0.999996
Step = 183, Time = 1.29992, Error = 0.00325797, Integrated density = 0.999991
Step = 184, Time = 1.30706, Error = 0.00325797, Integrated density = 0.999994
Step = 185, Time = 1.31421, Error = 0.00325797, Integrated density = 0.999992
Step = 186, Time = 1.32135, Error = 0.00325797, Integrated density = 0.99999
Step = 187, Time = 1.32849, Error = 0.00325797, Integrated density = 0.999992
Step = 188, Time = 1.33563, Error = 0.00325797, Integrated density = 0.99999
Step = 189, Time = 1.34278, Error = 0.00325797, Integrated density = 0.999992
Step = 190, Time = 1.34992, Error = 0.00325797, Integrated density = 0.999992
Step = 191, Time = 1.35706, Error = 0.00325797, Integrated density = 0.999989
Step = 192, Time = 1.3642, Error = 0.00325797, Integrated density = 0.999995
Step = 193, Time = 1.37135, Error = 0.00325797, Integrated density = 0.999991
Step = 194, Time = 1.37849, Error = 0.00325797, Integrated density = 0.999992
Step = 195, Time = 1.38563, Error = 0.00325797, Integrated density = 0.999991
Step = 196, Time = 1.39277, Error = 0.00325797, Integrated density = 0.999995
Step = 197, Time = 1.39991, Error = 0.00325797, Integrated density = 0.999993
Step = 198, Time = 1.40706, Error = 0.00325797, Integrated density = 0.999991
Step = 199, Time = 1.4142, Error = 0.00325797, Integrated density = 0.999992
Step = 200, Time = 1.42134, Error = 0.00325797, Integrated density = 0.999994
Step = 201, Time = 1.42848, Error = 0.00325797, Integrated density = 0.999992
Step = 202, Time = 1.43563, Error = 0.00325797, Integrated density = 0.999992
Step = 203, Time = 1.44277, Error = 0.00325797, Integrated density = 0.999991
Step = 204, Time = 1.44991, Error = 0.00325797, Integrated density = 0.999994
Step = 205, Time = 1.45705, Error = 0.00325797, Integrated density = 0.999995
Step = 206, Time = 1.4642, Error = 0.00325797, Integrated density = 0.999991
Step = 207, Time = 1.47134, Error = 0.00325797, Integrated density = 0.999992
Step = 208, Time = 1.47848, Error = 0.00325797, Integrated density = 0.99999
Step = 209, Time = 1.48562, Error = 0.00325797, Integrated density = 0.99999
Step = 210, Time = 1.49277, Error = 0.00325797, Integrated density = 0.999991
Step = 211, Time = 1.49991, Error = 0.00325797, Integrated density = 0.999993
Step = 212, Time = 1.50705, Error = 0.00325797, Integrated density = 0.999991
Step = 213, Time = 1.51419, Error = 0.00325797, Integrated density = 0.999987
Step = 214, Time = 1.52134, Error = 0.00325797, Integrated density = 0.999993
Step = 215, Time = 1.52848, Error = 0.00325797, Integrated density = 0.99999
Step = 216, Time = 1.53562, Error = 0.00325797, Integrated density = 0.999993
Step = 217, Time = 1.54276, Error = 0.00325797, Integrated density = 0.999989
Step = 218, Time = 1.54991, Error = 0.00325797, Integrated density = 0.999991
Step = 219, Time = 1.55705, Error = 0.00325797, Integrated density = 0.999995
Step = 220, Time = 1.56419, Error = 0.00325797, Integrated density = 0.999988
Step = 221, Time = 1.57133, Error = 0.00325797, Integrated density = 0.999993
Step = 222, Time = 1.57848, Error = 0.00325797, Integrated density = 0.999993
Step = 223, Time = 1.58562, Error = 0.00325797, Integrated density = 0.999991
Step = 224, Time = 1.59276, Error = 0.00325797, Integrated density = 0.999991
Step = 225, Time = 1.5999, Error = 0.00325797, Integrated density = 0.99999
Step = 226, Time = 1.60705, Error = 0.00325797, Integrated density = 0.999991
Step = 227, Time = 1.61419, Error = 0.00325797, Integrated density = 0.99999
Step = 228, Time = 1.62133, Error = 0.00325797, Integrated density = 0.999989
Step = 229, Time = 1.62847, Error = 0.00325797, Integrated density = 0.999992
Step = 230, Time = 1.63561, Error = 0.00325797, Integrated density = 0.999993
Step = 231, Time = 1.64276, Error = 0.00325797, Integrated density = 0.999993
Step = 232, Time = 1.6499, Error = 0.00325797, Integrated density = 0.999991
Step = 233, Time = 1.65704, Error = 0.00325797, Integrated density = 0.999993
Step = 234, Time = 1.66418, Error = 0.00325797, Integrated density = 0.999989
Step = 235, Time = 1.67133, Error = 0.00325797, Integrated density = 0.999992
Step = 236, Time = 1.67847, Error = 0.00325797, Integrated density = 0.999991
Step = 237, Time = 1.68561, Error = 0.00325797, Integrated density = 0.999987
Step = 238, Time = 1.69275, Error = 0.00325797, Integrated density = 0.999985
Step = 239, Time = 1.6999, Error = 0.00325797, Integrated density = 0.999986
Step = 240, Time = 1.70704, Error = 0.00325797, Integrated density = 0.999988
Step = 241, Time = 1.71418, Error = 0.00325797, Integrated density = 0.999993
Step = 242, Time = 1.72132, Error = 0.00325797, Integrated density = 0.999991
Step = 243, Time = 1.72847, Error = 0.00325797, Integrated density = 0.999993
Step = 244, Time = 1.73561, Error = 0.00325797, Integrated density = 0.99999
Step = 245, Time = 1.74275, Error = 0.00325797, Integrated density = 0.99999
Step = 246, Time = 1.74989, Error = 0.00325797, Integrated density = 0.999989
Step = 247, Time = 1.75704, Error = 0.00325797, Integrated density = 0.99999
Step = 248, Time = 1.76418, Error = 0.00325797, Integrated density = 0.999986
Step = 249, Time = 1.77132, Error = 0.00325797, Integrated density = 0.999989
Step = 250, Time = 1.77846, Error = 0.00325797, Integrated density = 0.99999
Step = 251, Time = 1.78561, Error = 0.00325797, Integrated density = 0.99999
Step = 252, Time = 1.79275, Error = 0.00325797, Integrated density = 0.99999
Step = 253, Time = 1.79989, Error = 0.00325797, Integrated density = 0.999993
Step = 254, Time = 1.80703, Error = 0.00325797, Integrated density = 0.99999
Step = 255, Time = 1.81418, Error = 0.00325797, Integrated density = 0.999992
Step = 256, Time = 1.82132, Error = 0.00325797, Integrated density = 0.999994
Step = 257, Time = 1.82846, Error = 0.00325797, Integrated density = 0.999989
Step = 258, Time = 1.8356, Error = 0.00325797, Integrated density = 0.999992
Step = 259, Time = 1.84275, Error = 0.00325797, Integrated density = 0.999991
Step = 260, Time = 1.84989, Error = 0.00325797, Integrated density = 0.999991
Step = 261, Time = 1.85703, Error = 0.00325797, Integrated density = 0.999993
Step = 262, Time = 1.86417, Error = 0.00325797, Integrated density = 0.999988
Step = 263, Time = 1.87131, Error = 0.00325797, Integrated density = 0.999992
Step = 264, Time = 1.87846, Error = 0.00325797, Integrated density = 0.999987
Step = 265, Time = 1.8856, Error = 0.00325797, Integrated density = 0.999986
Step = 266, Time = 1.89274, Error = 0.00325797, Integrated density = 0.999989
Step = 267, Time = 1.89988, Error = 0.00325797, Integrated density = 0.999991
Step = 268, Time = 1.90703, Error = 0.00325797, Integrated density = 0.999992
Step = 269, Time = 1.91417, Error = 0.00325797, Integrated density = 0.999987
Step = 270, Time = 1.92131, Error = 0.00325797, Integrated density = 0.999988
Step = 271, Time = 1.92845, Error = 0.00325797, Integrated density = 0.999985
Step = 272, Time = 1.9356, Error = 0.00325797, Integrated density = 0.999994
Step = 273, Time = 1.94274, Error = 0.00325797, Integrated density = 0.99999
Step = 274, Time = 1.94988, Error = 0.00325797, Integrated density = 0.999991
Step = 275, Time = 1.95702, Error = 0.00325797, Integrated density = 0.99999
Step = 276, Time = 1.96417, Error = 0.00325797, Integrated density = 0.999992
Step = 277, Time = 1.97131, Error = 0.00325797, Integrated density = 0.99999
Step = 278, Time = 1.97845, Error = 0.00325797, Integrated density = 0.999992
Step = 279, Time = 1.98559, Error = 0.00325797, Integrated density = 0.999988
Step = 280, Time = 1.99274, Error = 0.00325797, Integrated density = 0.999986
Step = 281, Time = 1.99988, Error = 0.00325797, Integrated density = 0.999983
Step = 282, Time = 2.00702, Error = 0.00325797, Integrated density = 0.999988
Step = 283, Time = 2.01416, Error = 0.00325797, Integrated density = 0.99999
Step = 284, Time = 2.02131, Error = 0.00325797, Integrated density = 0.999989
Step = 285, Time = 2.02845, Error = 0.00325797, Integrated density = 0.999991
Step = 286, Time = 2.03559, Error = 0.00325797, Integrated density = 0.999988
Step = 287, Time = 2.04273, Error = 0.00325797, Integrated density = 0.999986
Step = 288, Time = 2.04987, Error = 0.00325797, Integrated density = 0.99999
Step = 289, Time = 2.05702, Error = 0.00325797, Integrated density = 0.999988
Step = 290, Time = 2.06416, Error = 0.00325797, Integrated density = 0.99999
Step = 291, Time = 2.0713, Error = 0.00325797, Integrated density = 0.999989
Step = 292, Time = 2.07844, Error = 0.00325797, Integrated density = 0.999991
Step = 293, Time = 2.08559, Error = 0.00325797, Integrated density = 0.999982
Step = 294, Time = 2.09273, Error = 0.00325797, Integrated density = 0.999991
Step = 295, Time = 2.09987, Error = 0.00325797, Integrated density = 0.999984
Step = 296, Time = 2.10701, Error = 0.00325797, Integrated density = 0.999986
Step = 297, Time = 2.11416, Error = 0.00325797, Integrated density = 0.999989
Step = 298, Time = 2.1213, Error = 0.00325797, Integrated density = 0.999989
Step = 299, Time = 2.12844, Error = 0.00325797, Integrated density = 0.999988
Step = 300, Time = 2.13558, Error = 0.00154073, Integrated density = 0.99999
Step = 301, Time = 2.14272, Error = 0.00154073, Integrated density = 0.999984
Step = 302, Time = 2.14987, Error = 0.00154073, Integrated density = 0.999987
Step = 303, Time = 2.15701, Error = 0.00154073, Integrated density = 0.999989
Step = 304, Time = 2.16415, Error = 0.00154073, Integrated density = 0.999988
Step = 305, Time = 2.17129, Error = 0.00154073, Integrated density = 0.999986
Step = 306, Time = 2.17844, Error = 0.00154073, Integrated density = 0.999994
Step = 307, Time = 2.18558, Error = 0.00154073, Integrated density = 0.99999
Step = 308, Time = 2.19272, Error = 0.00154073, Integrated density = 0.999985
Step = 309, Time = 2.19986, Error = 0.00154073, Integrated density = 0.999985
Step = 310, Time = 2.20701, Error = 0.00154073, Integrated density = 0.999989
Step = 311, Time = 2.21415, Error = 0.00154073, Integrated density = 0.999985
Step = 312, Time = 2.22129, Error = 0.00154073, Integrated density = 0.999988
Step = 313, Time = 2.22843, Error = 0.00154073, Integrated density = 0.999987
Step = 314, Time = 2.23557, Error = 0.00154073, Integrated density = 0.999987
Step = 315, Time = 2.24272, Error = 0.00154073, Integrated density = 0.999986
Step = 316, Time = 2.24986, Error = 0.00154073, Integrated density = 0.999989
Step = 317, Time = 2.257, Error = 0.00154073, Integrated density = 0.999988
Step = 318, Time = 2.26414, Error = 0.00154073, Integrated density = 0.999987
Step = 319, Time = 2.27129, Error = 0.00154073, Integrated density = 0.999983
Step = 320, Time = 2.27843, Error = 0.00154073, Integrated density = 0.999988
Step = 321, Time = 2.28557, Error = 0.00154073, Integrated density = 0.999987
Step = 322, Time = 2.29271, Error = 0.00154073, Integrated density = 0.999989
Step = 323, Time = 2.29986, Error = 0.00154073, Integrated density = 0.999987
Step = 324, Time = 2.307, Error = 0.00154073, Integrated density = 0.999986
Step = 325, Time = 2.31414, Error = 0.00154073, Integrated density = 0.999987
Step = 326, Time = 2.32128, Error = 0.00154073, Integrated density = 0.999988
Step = 327, Time = 2.32842, Error = 0.00154073, Integrated density = 0.999988
Step = 328, Time = 2.33557, Error = 0.00154073, Integrated density = 0.999985
Step = 329, Time = 2.34271, Error = 0.00154073, Integrated density = 0.999984
Step = 330, Time = 2.34985, Error = 0.00154073, Integrated density = 0.999988
Step = 331, Time = 2.35699, Error = 0.00154073, Integrated density = 0.999987
Step = 332, Time = 2.36414, Error = 0.00154073, Integrated density = 0.99999
Step = 333, Time = 2.37128, Error = 0.00154073, Integrated density = 0.999987
Step = 334, Time = 2.37842, Error = 0.00154073, Integrated density = 0.999986
Step = 335, Time = 2.38556, Error = 0.00154073, Integrated density = 0.999987
Step = 336, Time = 2.39271, Error = 0.00154073, Integrated density = 0.999989
Step = 337, Time = 2.39985, Error = 0.00154073, Integrated density = 0.999988
Step = 338, Time = 2.40699, Error = 0.00154073, Integrated density = 0.999985
Step = 339, Time = 2.41413, Error = 0.00154073, Integrated density = 0.999993
Step = 340, Time = 2.42127, Error = 0.00154073, Integrated density = 0.999985
Step = 341, Time = 2.42842, Error = 0.00154073, Integrated density = 0.999987
Step = 342, Time = 2.43556, Error = 0.00154073, Integrated density = 0.999991
Step = 343, Time = 2.4427, Error = 0.00154073, Integrated density = 0.999984
Step = 344, Time = 2.44984, Error = 0.00154073, Integrated density = 0.999991
Step = 345, Time = 2.45699, Error = 0.00154073, Integrated density = 0.999992
Step = 346, Time = 2.46413, Error = 0.00154073, Integrated density = 0.999989
Step = 347, Time = 2.47127, Error = 0.00154073, Integrated density = 0.999986
Step = 348, Time = 2.47841, Error = 0.00154073, Integrated density = 0.999991
Step = 349, Time = 2.48556, Error = 0.00154073, Integrated density = 0.999986
Step = 350, Time = 2.4927, Error = 0.00154073, Integrated density = 0.999983
Step = 351, Time = 2.49984, Error = 0.00154073, Integrated density = 0.999988
Step = 352, Time = 2.50698, Error = 0.00154073, Integrated density = 0.999986
Step = 353, Time = 2.51412, Error = 0.00154073, Integrated density = 0.999987
Step = 354, Time = 2.52127, Error = 0.00154073, Integrated density = 0.999987
Step = 355, Time = 2.52841, Error = 0.00154073, Integrated density = 0.999988
Step = 356, Time = 2.53555, Error = 0.00154073, Integrated density = 0.999989
Step = 357, Time = 2.54269, Error = 0.00154073, Integrated density = 0.999986
Step = 358, Time = 2.54984, Error = 0.00154073, Integrated density = 0.999988
Step = 359, Time = 2.55698, Error = 0.00154073, Integrated density = 0.999991
Step = 360, Time = 2.56412, Error = 0.00154073, Integrated density = 0.999984
Step = 361, Time = 2.57126, Error = 0.00154073, Integrated density = 0.99999
Step = 362, Time = 2.57841, Error = 0.00154073, Integrated density = 0.999989
Step = 363, Time = 2.58555, Error = 0.00154073, Integrated density = 0.999986
Step = 364, Time = 2.59269, Error = 0.00154073, Integrated density = 0.999981
Step = 365, Time = 2.59983, Error = 0.00154073, Integrated density = 0.999986
Step = 366, Time = 2.60697, Error = 0.00154073, Integrated density = 0.999987
Step = 367, Time = 2.61412, Error = 0.00154073, Integrated density = 0.99999
Step = 368, Time = 2.62126, Error = 0.00154073, Integrated density = 0.999989
Step = 369, Time = 2.6284, Error = 0.00154073, Integrated density = 0.999986
Step = 370, Time = 2.63554, Error = 0.00154073, Integrated density = 0.999988
Step = 371, Time = 2.64269, Error = 0.00154073, Integrated density = 0.999987
Step = 372, Time = 2.64983, Error = 0.00154073, Integrated density = 0.999987
Step = 373, Time = 2.65697, Error = 0.00154073, Integrated density = 0.999992
Step = 374, Time = 2.66411, Error = 0.00154073, Integrated density = 0.999988
Step = 375, Time = 2.67126, Error = 0.00154073, Integrated density = 0.999991
Step = 376, Time = 2.6784, Error = 0.00154073, Integrated density = 0.99999
Step = 377, Time = 2.68554, Error = 0.00154073, Integrated density = 0.999988
Step = 378, Time = 2.69268, Error = 0.00154073, Integrated density = 0.999987
Step = 379, Time = 2.69982, Error = 0.00154073, Integrated density = 0.999989
Step = 380, Time = 2.70697, Error = 0.00154073, Integrated density = 0.999988
Step = 381, Time = 2.71411, Error = 0.00154073, Integrated density = 0.999985
Step = 382, Time = 2.72125, Error = 0.00154073, Integrated density = 0.999987
Step = 383, Time = 2.72839, Error = 0.00154073, Integrated density = 0.999988
Step = 384, Time = 2.73554, Error = 0.00154073, Integrated density = 0.999985
Step = 385, Time = 2.74268, Error = 0.00154073, Integrated density = 0.999986
Step = 386, Time = 2.74982, Error = 0.00154073, Integrated density = 0.999988
Step = 387, Time = 2.75696, Error = 0.00154073, Integrated density = 0.999986
Step = 388, Time = 2.76411, Error = 0.00154073, Integrated density = 0.999988
Step = 389, Time = 2.77125, Error = 0.00154073, Integrated density = 0.999988
Step = 390, Time = 2.77839, Error = 0.00154073, Integrated density = 0.999986
Step = 391, Time = 2.78553, Error = 0.00154073, Integrated density = 0.999989
Step = 392, Time = 2.79267, Error = 0.00154073, Integrated density = 0.999991
Step = 393, Time = 2.79982, Error = 0.00154073, Integrated density = 0.999984
Step = 394, Time = 2.80696, Error = 0.00154073, Integrated density = 0.999984
